"time","data"
"05:30:06","142255.94"
"05:30:17","142238.63"
"05:30:28","142248.63"
"05:30:39","142262.22"
"05:30:50","142261.59"
"05:31:01","142268.86"
"05:31:12","142279.23"
"05:31:23","142286.74"
"05:31:34","142264.02"
"05:31:45","142288.09"
"05:31:56","142290.27"
"05:32:07","142301.76"
"05:32:18","142308.41"
"05:32:29","142297.62"
"05:32:40","142312.01"
"05:32:51","142316.94"
"05:33:02","142321.02"
"05:33:13","142317.63"
"05:33:24","142339.19"
"05:33:35","142331.07"
"05:33:46","142345.58"
"05:33:57","142351.96"
"05:34:08","142358.66"
"05:34:19","142341.96"
"05:34:30","142329.57"
"05:34:41","142350.72"
"05:34:52","142345.98"
"05:35:03","142355.67"
"05:35:14","142349.47"
"05:35:25","142365.14"
"05:35:36","142358.96"
"05:35:47","142358.56"
"05:35:58","142357.16"
"05:36:09","142368.31"
"05:36:20","142351.62"
"05:36:31","142359.91"
"05:36:42","142359.69"
"05:36:53","142361.13"
"05:37:04","142356.79"
"05:37:15","142354.22"
"05:37:26","142349.90"
"05:37:37","142363.98"
"05:37:48","142360.66"
"05:37:59","142360.70"
"05:38:10","142352.65"
"05:38:21","142367.89"
"05:38:32","142361.28"
"05:38:43","142368.20"
"05:38:54","142392.00"
"05:39:05","142379.53"
"05:39:16","142393.71"
"05:39:27","142396.13"
"05:39:38","142389.84"
"05:39:49","142418.74"
"05:40:00","142420.46"
"05:40:11","142439.12"
"05:40:22","142440.12"
"05:40:33","142444.69"
"05:40:44","142441.45"
"05:40:55","142454.02"
"05:41:06","142474.20"
"05:41:17","142457.61"
"05:41:28","142460.58"
"05:41:39","142474.77"
"05:41:50","142494.89"
"05:42:01","142486.67"
"05:42:12","142492.27"
"05:42:23","142499.19"
"05:42:34","142488.06"
"05:42:45","142493.25"
"05:42:56","142490.94"
"05:43:07","142496.95"
"05:43:18","142501.03"
"05:43:29","142499.36"
"05:43:40","142510.43"
"05:43:51","142508.58"
"05:44:02","142521.20"
"05:44:13","142504.38"
"05:44:24","142502.14"
"05:44:35","142510.73"
"05:44:46","142515.83"
"05:44:57","142513.98"
"05:45:08","142520.11"
"05:45:19","142531.66"
"05:45:30","142524.25"
"05:45:41","142518.12"
"05:45:52","142529.50"
"05:46:03","142527.82"
"05:46:14","142532.38"
"05:46:25","142524.50"
"05:46:36","142540.97"
"05:46:47","142560.48"
"05:46:58","142581.28"
"05:47:09","142592.22"
"05:47:20","142592.42"
"05:47:31","142590.84"
"05:47:42","142589.27"
"05:47:53","142635.96"
"05:48:04","142658.43"
"05:48:15","142669.16"
"05:48:26","142681.68"
"05:48:37","142710.35"
"05:48:48","142721.98"
"05:48:59","142725.84"
"05:49:10","142737.81"
"05:49:21","142770.37"
"05:49:32","142775.76"
"05:49:43","142785.27"
"05:49:54","142815.26"
"05:50:05","142835.95"
"05:50:16","142845.92"
"05:50:27","142843.57"
"05:50:38","142860.27"
"05:50:49","142893.20"
"05:51:00","142901.74"
"05:51:11","142896.86"
"05:51:22","142903.96"
"05:51:33","142889.52"
"05:51:44","142883.26"
"05:51:55","142891.72"
"05:52:06","142894.59"
"05:52:17","142883.10"
"05:52:28","142874.60"
"05:52:39","142875.02"
"05:52:50","142860.92"
"05:53:01","142862.04"
"05:53:12","142892.30"
"05:53:23","142920.40"
"05:53:34","142920.13"
"05:53:45","142939.41"
"05:53:56","142953.28"
"05:54:07","142984.62"
"05:54:18","142987.61"
"05:54:29","142983.81"
"05:54:40","143008.81"
"05:54:51","143012.04"
"05:55:02","143031.99"
"05:55:13","143022.35"
"05:55:24","143027.60"
"05:55:35","143045.70"
"05:55:46","143052.46"
"05:55:57","143076.76"
"05:56:08","143086.85"
"05:56:19","143102.51"
"05:56:30","143114.01"
"05:56:41","143112.32"
"05:56:52","143133.30"
"05:57:03","143145.49"
"05:57:14","143149.11"
"05:57:25","143158.78"
"05:57:36","143171.72"
"05:57:47","143178.34"
"05:57:58","143184.41"
"05:58:09","143177.88"
"05:58:20","143189.59"
"05:58:31","143220.71"
"05:58:42","143228.72"
"05:58:53","143252.80"
"05:59:04","143267.11"
"05:59:15","143269.05"
"05:59:26","143269.52"
"05:59:37","143283.23"
"05:59:48","143276.83"
"05:59:59","143250.10"